ninds_aff_name,mean_funding
"biotex, inc.",160922.0
"biotime, inc.",385923.0
"biotraces, inc.",95670.6
blackrock microsystems,339508.14
"blackthorn therapeutics, inc.",683363.5
"bloodcenter of wisconsin, inc.",301796.0
"bmseed, llc",282948.14
boise state university,260604.0
"bolder biotechnology, inc.",492801.8
boston biomedical research institute,71301.0
boston children's hospital,393806.84
boston college,319083.25
boston medical center,1028383.31
boston university,232428.38
boston university (charles river campus),342341.03
boston university medical campus,341438.11
boston university medical center hosp,282574.0
bowling green state univ bowling green,166200.47
"brain plasticity, inc.",725825.33
brain recovery project,8333.33
"brain research laboratories, inc. (brl)",253934.0
"brainxell, inc.",202277.0
brandeis university,263544.95
brentwood biomedical research institute,284461.13
brigham and women's hospital,330009.34
brigham young university,228060.5
bright cloud international corporation,100000.0
brightoutcome inc.,311926.0
"broad institute, inc.",377701.08
brookhaven science assoc-brookhaven lab,337125.74
brooklyn college,160301.33
brown university,257980.9
bryn mawr college,75917.0
buck institute for age research,276835.78
buck institute for research on aging,379135.33
burnham institute for medical research,290476.01
"butler hospital (providence, ri)",318417.0
butler university,373147.0
"c-motion, inc.",98868.0
"c. light technologies, inc.",158453.33
"calibrant biosystems, inc.",145250.0
"califia bio, inc.",586679.0
california institute of biological res,313594.0
california institute of technology,287406.35
california institute/biomedical research,340444.67
california pacific med ctr res institute,344600.78
california state poly u pomona,97567.0
california state university chico,93926.0
california state university fullerton,382074.0
california state university long beach,103684.67
california state university los angeles,255478.75
california state university northridge,268981.0
california state university sacramento,329114.0
calvin college,189470.0
"cambrex bioscience walkersville, inc.",96285.0
"cambria biosciences, llc",310497.5
cambridge neuroscience,239628.12
candela corporation,49998.0
canisius college,96756.0
"cape cod research, inc.",99938.67
"caprion proteomics usa, llc",378246.4
cardiff university,81078.5
caritas st. elizabeth's medical center,149532.93
"carnegie institution of washington, d.c.",67299.25
carnegie-mellon university,201544.85
carolinas medical center,291772.57
"cartesian research, inc.",236916.0
"cas medical systems, inc.",383851.77
case western reserve universit,
case western reserve university,265183.16
catawba college,80648.67
"ccel bio-therapies, inc.",107000.0
cd neural technologies,110954.0
cedars-sinai medical center,329399.28
"cell therapeutics, inc.",183333.33
"celldex therapeutics, inc.",103263.0
"centaur pharmaceuticals, inc.",129941.17
central institute for the deaf,83988.4
central michigan university,296989.25
central new york research corporation,146845.8
central washington university,92682.33
centre college,135366.67
