,grant_type,fiscal_year_total_cost
423,r01,1610689376.0
340,p01,204563576.0
793,u01,114681906.0
386,p50,95125512.0
502,r21,82528492.0
672,r44,43916076.0
585,r37,40209746.0
896,u54,38688586.0
763,t32,30615092.0
172,k08,26877044.0
226,k23,18555638.0
649,r43,17557444.0
80,f32,12600102.0
363,p30,10326172.0
820,u10,8397148.0
57,f31,8364710.0
134,k02,7546844.0
861,u24,6135978.0
244,k24,4249936.0
483,r15,3873842.0
723,s11,3598224.0
521,r24,3404679.0
194,k12,2638798.0
627,r42,2434152.0
260,k25,2249856.0
814,u09,2000000.0
35,f30,1637768.0
460,r13,1584482.0
607,r41,1337848.0
113,k01,1178568.0
560,r29,842016.0
537,r25,706094.0
561,r33,573084.0
833,u13,250000.0
25,f05,201544.0
777,t35,119706.0
102,f33,119032.0
330,n44,0.0
293,n01,0.0
943,z01,0.0
