,grant_type,fiscal_year_total_cost
419,r01,452305026.0
336,p01,67869240.0
382,p50,38903684.0
556,r29,25090123.0
168,k08,17182836.0
290,n01,11795741.0
759,t32,9772313.0
668,r44,9489123.0
76,f32,5377919.0
645,r43,4460265.0
892,u54,1950000.0
790,u01,1607126.0
327,n44,1603679.0
479,r15,1160545.0
130,k02,1118660.0
153,k04,1100682.0
812,u09,1019066.0
690,r55,900000.0
320,n43,896321.0
517,r24,855254.0
719,s11,808472.0
53,f31,520340.0
623,r42,517291.0
603,r41,499901.0
456,r13,479227.0
498,r21,437993.0
109,k01,299332.0
191,k12,100000.0
21,f05,94464.0
160,k06,68807.0
939,z01,0.0
