,grant_type,fiscal_year_total_cost
434,r01,794008016.0
804,u01,188397306.0
953,zia,114126456.0
513,r21,110095581.0
907,u54,33708860.0
683,r44,31163876.0
596,r37,29092777.0
351,p01,28925162.0
974,zif,23285500.0
831,u10,21959513.0
960,zic,19151855.0
701,r56,15729900.0
397,p50,14675717.0
774,t32,14125340.0
374,p30,11487890.0
967,zid,10854750.0
183,k08,10825981.0
923,uh3,10329054.0
917,uh2,9870400.0
237,k23,9809252.0
548,r25,9455381.0
411,r00,8147351.0
494,r15,6655385.0
68,f31,6211086.0
660,r43,6181396.0
205,k12,6118786.0
638,r42,4981287.0
91,f32,4843369.0
531,r24,4697973.0
8,dp1,4362500.0
304,n01,4285443.0
912,ug3,4054405.0
872,u24,3971424.0
732,sb1,3830148.0
448,r03,3060511.0
578,r35,2911525.0
885,u44,2610955.0
15,dp2,2425064.0
569,r33,2204093.0
124,k01,1792664.0
313,n02,1684100.0
618,r41,1509774.0
145,k02,1423242.0
46,f30,1387017.0
857,u19,1382445.0
282,k99,1322590.0
471,r13,1065286.0
255,k24,707395.0
362,p20,704577.0
742,sc1,683791.0
220,k22,617916.0
932,y01,460155.0
271,k25,151214.0
752,sc2,138000.0
844,u13,67651.0
