,grant_type,fiscal_year_total_cost
975,zif,25397423.0
968,zid,10871499.0
961,zic,3884356.25
858,u19,2142805.62
16,dp2,2133593.75
352,p01,1188474.28
954,zia,1144701.39
733,sb1,1060831.2
398,p50,1025569.92
805,u01,959559.79
206,k12,949897.0
684,r44,887628.68
913,ug3,772241.57
9,dp1,746185.38
639,r42,734189.0
579,r35,728027.28
908,u54,721897.43
886,u44,698909.75
924,uh3,678609.12
918,uh2,636728.07
375,p30,582691.0
597,r37,489975.94
570,r33,473188.71
702,r56,442498.61
435,r01,387463.56
495,r15,358227.67
305,n01,343378.93
832,u10,329420.83
743,sc1,295744.0
619,r41,283102.45
873,u24,272105.03
532,r24,262744.19
412,r00,241394.59
661,r43,234336.94
125,k01,218456.09
514,r21,213211.2
549,r25,207645.53
238,k23,184601.11
256,k24,177658.75
184,k08,177154.99
146,k02,176672.3
314,n02,175970.0
753,sc2,164000.0
272,k25,151214.0
775,t32,149141.4
221,k22,146460.22
283,k99,85875.85
449,r03,77453.69
92,f32,47835.65
47,f30,41761.87
845,u13,39720.25
69,f31,35580.23
105,f99,32488.07
933,y01,30625.0
472,r13,12331.15
