,grant_type,fiscal_year_total_cost
427,r01,729854194.0
797,u01,133644640.0
947,z01,127076642.0
344,p01,79976543.0
506,r21,60759518.0
390,p50,51612184.0
900,u54,35281977.0
589,r37,34049692.0
297,n01,24194530.0
676,r44,23166166.0
367,p30,22028606.0
948,z02,19601000.0
176,k08,17821286.0
767,t32,16380136.0
694,r56,14692401.0
865,u24,12391345.0
230,k23,11368758.0
653,r43,9392806.0
824,u10,7840378.0
61,f31,6589318.0
878,u44,5756772.0
138,k02,5723176.0
84,f32,4944510.0
441,r03,3977456.0
117,k01,3770900.0
487,r15,3606677.0
198,k12,3529555.0
927,y01,2910093.0
714,rl1,2629439.0
39,f30,2552855.0
611,r41,2544250.0
248,k24,2380594.0
275,k99,2190452.0
264,k25,2025755.0
631,r42,1506750.0
735,sc1,1448350.0
404,r00,1229302.0
464,r13,1035302.0
727,s11,871112.0
541,r25,675450.0
401,pl1,667744.0
525,r24,555711.0
563,r33,378690.0
215,k22,352900.0
745,sc2,344308.0
576,r34,326157.0
837,u13,304996.0
104,f33,53271.0
29,f05,52898.0
781,t35,20674.0
