,grant_type,fiscal_year_total_cost
971,zif,21935492.0
964,zid,7592691.0
957,zic,4224556.0
12,dp2,2045275.0
394,p50,1292137.09
301,n01,1137394.5
348,p01,1123605.9
950,zia,1080041.2
801,u01,1056265.31
904,u54,1009839.33
869,u24,853243.38
566,r33,778921.0
882,u44,723104.0
680,r44,662495.2
371,p30,648644.06
5,dp1,545958.3
635,r42,542101.0
593,r37,517059.95
698,r56,436191.6
359,p20,364600.5
431,r01,350401.32
202,k12,337351.2
739,sc1,317317.5
491,r15,309254.74
657,r43,294722.9
408,r00,231151.72
615,r41,231010.25
828,u10,212177.45
929,y01,209220.0
510,r21,207975.18
310,n02,191049.0
142,k02,179517.64
268,k25,175923.33
252,k24,173121.0
234,k23,173052.93
180,k08,171460.57
771,t32,151995.04
121,k01,149068.88
849,u18,143447.5
749,sc2,140729.33
1,d43,106659.5
217,k22,97165.0
279,k99,91015.78
545,r25,81544.92
445,r03,75332.52
33,f05,61134.0
88,f32,48572.85
315,n03,34516.83
65,f31,31264.62
785,t35,31246.0
43,f30,27001.38
841,u13,17071.43
468,r13,12572.71
