,grant_type,fiscal_year_total_cost
972,zif,21954202.0
965,zid,11319392.0
958,zic,4962223.0
13,dp2,1259800.0
395,p50,1210229.56
951,zia,1132009.96
349,p01,1091831.96
802,u01,984981.54
921,uh3,898919.0
870,u24,824244.6
6,dp1,701953.5
905,u54,701067.58
372,p30,679153.41
567,r33,643799.0
681,r44,627684.49
302,n01,578765.21
636,r42,546763.86
311,n02,542686.0
883,u44,523360.5
699,r56,505232.49
594,r37,498752.64
432,r01,365608.04
492,r15,361244.44
360,p20,348205.0
203,k12,333207.44
740,sc1,323810.25
658,r43,277051.3
529,r24,274406.33
829,u10,250079.66
409,r00,245557.68
850,u18,237814.5
511,r21,222616.24
772,t32,195973.92
616,r41,182480.75
235,k23,175799.34
181,k08,174352.82
269,k25,169746.0
253,k24,166126.0
143,k02,164223.75
122,k01,154857.46
930,y01,154854.14
750,sc2,139852.0
2,d43,106659.5
546,r25,102953.83
218,k22,96020.5
280,k99,85524.81
446,r03,79680.43
89,f32,49022.58
44,f30,34954.73
66,f31,30505.08
842,u13,20902.2
469,r13,11107.62
