,grant_type,fiscal_year_total_cost
420,r01,529482201.0
337,p01,77739616.0
383,p50,45032574.0
557,r29,22371578.0
169,k08,14690338.0
669,r44,12924628.0
760,t32,11977475.0
291,n01,10451387.0
893,u54,8697709.0
77,f32,6570682.0
646,r43,4687921.0
582,r37,4180477.0
499,r21,1609637.0
720,s11,1600511.0
131,k02,1468141.0
480,r15,1133542.0
518,r24,1041621.0
223,k23,1026753.0
624,r42,964578.0
328,n44,806803.0
321,n43,792125.0
54,f31,768724.0
457,r13,722864.0
241,k24,622757.0
154,k04,407164.0
110,k01,326408.0
604,r41,211779.0
22,f05,88616.0
818,u10,79850.0
161,k06,68742.0
99,f33,64463.0
691,r55,30000.0
940,z01,0.0
