,grant_type,fiscal_year_total_cost
422,r01,708886691.0
339,p01,91762102.0
385,p50,45240547.0
671,r44,17394437.0
792,u01,16133383.0
895,u54,14584183.0
501,r21,13800639.0
762,t32,13544839.0
171,k08,12418943.0
584,r37,10404404.0
559,r29,9985648.0
79,f32,6174406.0
225,k23,4682520.0
648,r43,4564721.0
133,k02,2187310.0
56,f31,1797688.0
243,k24,1716326.0
722,s11,1454401.0
520,r24,1205118.0
482,r15,1052049.0
606,r41,1041680.0
193,k12,978164.0
459,r13,865396.0
259,k25,536367.0
626,r42,509320.0
813,u09,500000.0
819,u10,310536.0
536,r25,277653.0
112,k01,252784.0
24,f05,131116.0
101,f33,111927.0
163,k06,33075.0
942,z01,0.0
