,grant_type,fiscal_year_total_cost
417,r01,386852882.0
334,p01,66950378.0
380,p50,36975880.0
554,r29,23079635.0
166,k08,13179555.0
757,t32,9332351.0
288,n01,8810933.0
666,r44,6433392.0
74,f32,5421985.0
325,n44,2303842.0
189,k12,2085723.0
151,k04,1931315.0
643,r43,1885036.0
788,u01,1745280.0
890,u54,1571000.0
477,r15,1284443.0
854,u19,868542.0
318,n43,795906.0
810,u09,684893.0
601,r41,543957.0
210,k17,500416.0
454,r13,418974.0
128,k02,409512.0
688,r55,300000.0
717,s11,293690.0
51,f31,272582.0
621,r42,214435.0
107,k01,209793.0
19,f05,83300.0
158,k06,68553.0
97,f33,36800.0
357,p20,28348.0
937,z01,0.0
