,grant_type,fiscal_year_total_cost
425,r01,803137833.0
342,p01,83894250.0
795,u01,77896252.0
504,r21,49452524.0
388,p50,48223472.0
587,r37,33336349.0
898,u54,31774938.0
674,r44,25467042.0
174,k08,19355004.0
365,p30,19160062.0
765,t32,11970610.0
228,k23,11703859.0
863,u24,8463785.0
651,r43,7338473.0
136,k02,6302847.0
59,f31,6079739.0
82,f32,5699068.0
439,r03,3282824.0
523,r24,3162450.0
115,k01,3115925.0
485,r15,2990026.0
629,r42,2895448.0
196,k12,2606769.0
37,f30,2532840.0
876,u44,1589331.0
725,s11,1582927.0
262,k25,1538146.0
246,k24,1505935.0
609,r41,1438096.0
822,u10,977841.0
213,k22,812982.0
462,r13,762966.0
539,r25,716780.0
574,r34,217778.0
835,u13,155000.0
779,t35,50936.0
27,f05,50085.0
295,n01,0.0
945,z01,0.0
