,grant_type,fiscal_year_total_cost
424,r01,1668666342.0
341,p01,196607477.0
387,p50,99000844.0
794,u01,83528298.0
503,r21,81848218.0
586,r37,54479342.0
673,r44,38525200.0
173,k08,31445118.0
897,u54,31088010.0
764,t32,29477828.0
650,r43,20980010.0
227,k23,19723580.0
364,p30,16540764.0
81,f32,11857726.0
58,f31,11029880.0
135,k02,8656754.0
522,r24,6660212.0
862,u24,5462212.0
484,r15,5389714.0
438,r03,5044682.0
608,r41,4167568.0
724,s11,3770026.0
195,k12,3646862.0
628,r42,3644432.0
245,k24,3312128.0
36,f30,3299776.0
114,k01,3066416.0
261,k25,2714142.0
815,u09,2000000.0
461,r13,1882760.0
573,r34,1653028.0
538,r25,1231242.0
212,k22,1050844.0
562,r33,585426.0
821,u10,454064.0
834,u13,346518.0
26,f05,226144.0
778,t35,130254.0
103,f33,113072.0
331,n44,0.0
294,n01,0.0
944,z01,0.0
