,grant_type,fiscal_year_total_cost
436,r01,949595932.0
806,u01,167307545.0
955,zia,128576860.0
515,r21,102936118.0
911,uf1,54883101.0
685,r44,37767611.0
909,u54,35608632.0
598,r37,33639598.0
859,u19,32850617.0
580,r35,29943135.0
874,u24,27657962.0
976,zif,26949946.0
17,dp2,24878229.0
353,p01,21934932.0
925,uh3,21852853.0
712,rf1,20970665.0
914,ug3,16044104.0
399,p50,15575706.0
962,zic,15289682.0
185,k08,14494984.0
776,t32,14355552.0
239,k23,12637224.0
969,zid,12042812.0
703,r56,11304804.0
550,r25,11005695.0
662,r43,9176695.0
376,p30,8537327.0
10,dp1,8512030.0
70,f31,7929329.0
413,r00,7890901.0
496,r15,6414429.0
93,f32,5998705.0
620,r41,5951577.0
450,r03,5522887.0
887,u44,4996611.0
533,r24,4740609.0
571,r33,4185060.0
919,uh2,3093846.0
734,sb1,2929058.0
126,k01,2606091.0
284,k99,1872767.0
207,k12,1760187.0
48,f30,1740429.0
640,r42,1714780.0
147,k02,1460605.0
222,k22,1413241.0
306,n01,1006420.0
106,f99,963480.0
473,r13,919432.0
257,k24,372283.0
744,sc1,325791.0
934,y01,167391.0
754,sc2,164000.0
273,k25,151214.0
846,u13,5000.0
