,grant_type,fiscal_year_total_cost
428,r01,863691249.0
798,u01,170170345.0
345,p01,83023433.0
507,r21,82259519.0
391,p50,53859527.0
901,u54,39866558.0
368,p30,35633595.0
590,r37,32945065.0
707,rc2,28465343.0
298,n01,27579262.0
677,r44,25307466.0
705,rc1,23103445.0
177,k08,17209569.0
768,t32,16461483.0
866,u24,11656043.0
231,k23,11585434.0
654,r43,8589043.0
695,r56,7845332.0
825,u10,7420587.0
62,f31,6893379.0
139,k02,5211149.0
442,r03,4951357.0
85,f32,4858178.0
405,r00,4814032.0
879,u44,4516948.0
488,r15,4165431.0
632,r42,3280402.0
118,k01,3167561.0
736,sc1,2874355.0
715,rl1,2786666.0
40,f30,2613383.0
276,k99,2321022.0
199,k12,2096459.0
249,k24,2008296.0
542,r25,1789696.0
265,k25,1634288.0
612,r41,1445707.0
307,n02,1205468.0
564,r33,1185574.0
465,r13,1074941.0
402,pl1,503565.0
746,sc2,397373.0
728,s11,245000.0
838,u13,162800.0
216,k22,162000.0
526,r24,100567.0
30,f05,54554.0
782,t35,33988.0
