,grant_type,fiscal_year_total_cost
418,r01,838848512.0
335,p01,130472570.0
381,p50,70295046.0
555,r29,49725742.0
167,k08,28626082.0
289,n01,22991084.0
758,t32,20890374.0
667,r44,18154670.0
75,f32,11471582.0
644,r43,6149330.0
190,k12,5219140.0
326,n44,4813570.0
789,u01,3241430.0
152,k04,3164486.0
891,u54,3000000.0
478,r15,2416542.0
855,u19,1819710.0
811,u09,1462152.0
602,r41,1400672.0
129,k02,1307452.0
718,s11,1229434.0
319,n43,1186430.0
455,r13,882452.0
52,f31,866838.0
211,k17,675680.0
108,k01,588550.0
622,r42,571130.0
689,r55,400000.0
20,f05,198000.0
98,f33,145200.0
159,k06,137430.0
34,f06,54450.0
938,z01,0.0
