,grant_type,fiscal_year_total_cost
430,r01,764711595.0
800,u01,158668720.0
949,zia,119993186.0
509,r21,84858331.0
393,p50,43536351.0
347,p01,42401786.0
903,u54,30276510.0
370,p30,24164947.0
970,zif,22045989.0
679,r44,17495456.0
592,r37,17314547.0
300,n01,17098447.0
827,u10,15182567.0
770,t32,14921821.0
11,dp2,14799772.0
697,r56,13792693.0
179,k08,13451748.0
656,r43,10902669.0
233,k23,9498122.0
881,u44,8539870.0
407,r00,8524672.0
956,zic,8313341.0
868,u24,7896697.0
64,f31,7850166.0
544,r25,6830747.0
963,zid,6758652.0
87,f32,5972768.0
4,dp1,5595900.0
444,r03,4219103.0
490,r15,3683392.0
309,n02,3669741.0
201,k12,3189549.0
634,r42,3084786.0
141,k02,2475665.0
120,k01,2267097.0
738,sc1,2265516.0
358,p20,2261723.0
278,k99,2208643.0
614,r41,1822124.0
251,k24,1530788.0
267,k25,1216584.0
42,f30,1072600.0
928,y01,965480.0
848,u18,901305.0
467,r13,874536.0
528,r24,623481.0
710,rc3,530523.0
748,sc2,437500.0
0,d43,213319.0
840,u13,205000.0
32,f05,61134.0
784,t35,35413.0
