,grant_type,fiscal_year_total_cost
421,r01,628849430.0
338,p01,82442658.0
384,p50,46581477.0
558,r29,15976177.0
670,r44,14329842.0
170,k08,13674990.0
894,u54,12311033.0
292,n01,11942082.0
761,t32,11655018.0
78,f32,6817894.0
583,r37,6133055.0
647,r43,4915486.0
500,r21,4812841.0
791,u01,3116233.0
329,n44,2800035.0
224,k23,2723095.0
132,k02,1959675.0
721,s11,1687556.0
242,k24,1468697.0
481,r15,1111360.0
519,r24,1094572.0
55,f31,975713.0
625,r42,853907.0
192,k12,768625.0
458,r13,584569.0
605,r41,542093.0
535,r25,277678.0
258,k25,270562.0
111,k01,251285.0
322,n43,199965.0
23,f05,108876.0
692,r55,100000.0
155,k04,68193.0
100,f33,46300.0
162,k06,33075.0
941,z01,0.0
