,grant_type,fiscal_year_total_cost
974,zif,23285500.0
967,zid,10854750.0
960,zic,4787963.75
351,p01,1257615.74
397,p50,1128901.31
953,zia,1118886.82
912,ug3,1013601.25
872,u24,992856.0
578,r35,970508.33
732,sb1,957537.0
885,u44,870318.33
907,u54,822167.32
15,dp2,808354.67
804,u01,805116.69
683,r44,741997.05
8,dp1,727083.33
638,r42,711612.43
857,u19,691222.5
205,k12,679865.11
374,p30,574394.5
569,r33,551023.25
917,uh2,548355.56
923,uh3,543634.42
596,r37,469238.34
701,r56,425132.43
434,r01,377739.3
494,r15,369743.61
362,p20,352288.5
742,sc1,341895.5
831,u10,309288.92
531,r24,276351.35
660,r43,257558.17
304,n01,252084.88
411,r00,246889.42
313,n02,240585.71
513,r21,218011.05
618,r41,215682.0
124,k01,199184.89
774,t32,183445.97
255,k24,176848.75
548,r25,171916.02
183,k08,169155.95
237,k23,169125.03
145,k02,158138.0
271,k25,151214.0
752,sc2,138000.0
932,y01,115038.75
220,k22,102986.0
282,k99,88172.67
448,r03,78474.64
91,f32,51525.2
46,f30,38528.25
68,f31,33940.36
844,u13,33825.5
471,r13,12105.52
