,grant_type,fiscal_year_total_cost
973,zif,22785896.0
966,zid,10720370.0
959,zic,4855328.67
14,dp2,2325000.0
871,u24,1497504.0
916,uh2,1266399.25
303,n01,1176310.0
396,p50,1156143.77
952,zia,1078198.67
350,p01,1049964.39
922,uh3,842357.0
906,u54,822130.07
803,u01,777983.52
7,dp1,751250.0
856,u19,706651.0
373,p30,622886.21
682,r44,576235.24
568,r33,548477.0
884,u44,522999.4
637,r42,454450.0
595,r37,443545.18
700,r56,426489.66
433,r01,373139.15
361,p20,352289.5
741,sc1,351248.0
493,r15,283700.32
204,k12,278039.36
530,r24,276724.77
830,u10,263202.24
659,r43,257387.57
410,r00,245786.62
512,r21,223804.92
851,u18,221147.0
312,n02,198006.3
123,k01,188542.6
773,t32,188229.03
547,r25,185726.57
617,r41,185671.0
236,k23,181230.15
254,k24,176842.5
144,k02,175692.8
931,y01,171648.57
270,k25,169746.0
182,k08,169139.24
751,sc2,138229.0
3,d43,106659.5
219,k22,98029.71
281,k99,89001.1
447,r03,73185.39
90,f32,51496.43
45,f30,38504.76
843,u13,38470.0
67,f31,32709.63
470,r13,12345.81
