,grant_type,fiscal_year_total_cost
433,r01,770159203.0
803,u01,148594853.0
952,zia,111054463.0
512,r21,108321583.0
906,u54,33707333.0
350,p01,29399003.0
682,r44,28235527.0
595,r37,26612711.0
973,zif,22785896.0
830,u10,17634550.0
396,p50,15029869.0
373,p30,14949269.0
959,zic,14565986.0
700,r56,13647669.0
773,t32,12987803.0
303,n01,12939410.0
182,k08,12178025.0
236,k23,11236269.0
966,zid,10720370.0
547,r25,9843508.0
659,r43,9523340.0
67,f31,6705475.0
410,r00,6390452.0
493,r15,6241407.0
7,dp1,6010000.0
90,f32,5716104.0
916,uh2,5065597.0
871,u24,4492512.0
447,r03,3952011.0
530,r24,3597422.0
922,uh3,3369428.0
637,r42,3181150.0
204,k12,3058433.0
884,u44,2614997.0
281,k99,2581032.0
14,dp2,2325000.0
617,r41,2228052.0
312,n02,1980063.0
123,k01,1885426.0
144,k02,1756928.0
856,u19,1413302.0
931,y01,1201540.0
741,sc1,1053744.0
470,r13,827169.0
45,f30,808600.0
254,k24,707370.0
361,p20,704579.0
219,k22,686208.0
270,k25,678984.0
851,u18,663441.0
568,r33,548477.0
751,sc2,276458.0
3,d43,213319.0
843,u13,153880.0
