,grant_type,fiscal_year_total_cost
976,zif,26949946.0
969,zid,6021406.0
962,zic,3822420.5
712,rf1,2995809.29
859,u19,2346472.64
17,dp2,1913709.92
955,zia,1312008.78
911,uf1,1143397.94
399,p50,1112550.43
353,p01,1044520.57
10,dp1,945781.11
806,u01,939930.03
685,r44,899228.83
914,ug3,844426.53
887,u44,832768.5
580,r35,787977.24
734,sb1,732264.5
909,u54,726706.78
925,uh3,624367.23
919,uh2,618769.2
640,r42,571593.33
376,p30,569155.13
598,r37,494699.97
703,r56,452192.16
496,r15,400901.81
436,r01,397154.3
571,r33,380460.0
744,sc1,325791.0
874,u24,307310.69
533,r24,296288.06
207,k12,293364.5
662,r43,248018.78
413,r00,246590.66
620,r41,228906.81
515,r21,218548.02
550,r25,193082.37
776,t32,186435.74
126,k01,186149.36
257,k24,186141.5
185,k08,185833.13
147,k02,182575.62
239,k23,180531.77
754,sc2,164000.0
222,k22,157026.78
273,k25,151214.0
284,k99,89179.38
934,y01,83695.5
450,r03,77787.14
306,n01,77416.92
93,f32,56591.56
48,f30,41438.79
106,f99,38539.2
70,f31,37579.76
473,r13,13930.79
846,u13,5000.0
