,grant_type,fiscal_year_total_cost
415,r01,308209961.0
332,p01,82227147.0
378,p50,24292818.0
552,r29,18335729.0
164,k08,11924440.0
286,n01,11702905.0
755,t32,8760020.0
355,p20,6948880.0
664,r44,4831263.0
72,f32,4039350.0
149,k04,2231318.0
323,n44,1220583.0
641,r43,1159493.0
816,u10,1098905.0
852,u19,862828.0
808,u09,798865.0
475,r15,788747.0
686,r55,700000.0
187,k12,418135.0
452,r13,356025.0
786,u01,180643.0
95,f33,141200.0
730,s15,132056.0
208,k17,127303.0
316,n43,99899.0
156,k06,68769.0
935,z01,0.0
