,grant_type,fiscal_year_total_cost
431,r01,730586762.0
801,u01,139427021.0
950,zia,114484367.0
510,r21,88805402.0
348,p01,33708177.0
904,u54,33324698.0
394,p50,28427016.0
828,u10,24188229.0
971,zif,21935492.0
371,p30,21405254.0
593,r37,21199458.0
680,r44,19874856.0
180,k08,14059767.0
771,t32,13983544.0
698,r56,10904790.0
12,dp2,10226375.0
234,k23,9690964.0
657,r43,8546964.0
65,f31,8503978.0
957,zic,8449112.0
882,u44,7954144.0
964,zid,7592691.0
545,r25,7420588.0
869,u24,6825947.0
408,r00,6703400.0
88,f32,6120179.0
491,r15,5875840.0
5,dp1,5459583.0
445,r03,4595284.0
301,n01,4549578.0
635,r42,3794707.0
202,k12,3373512.0
142,k02,2513247.0
121,k01,2385102.0
359,p20,2187603.0
279,k99,2093363.0
310,n02,1910490.0
615,r41,1848082.0
739,sc1,1269270.0
929,y01,1046100.0
468,r13,917808.0
252,k24,865605.0
566,r33,778921.0
268,k25,527770.0
43,f30,432022.0
749,sc2,422188.0
849,u18,286895.0
1,d43,213319.0
315,n03,207101.0
841,u13,119500.0
217,k22,97165.0
33,f05,61134.0
785,t35,31246.0
