,grant_type,fiscal_year_total_cost
416,r01,670888796.0
333,p01,156917744.0
379,p50,58555536.0
553,r29,40286090.0
165,k08,27237418.0
287,n01,24185142.0
756,t32,17512466.0
356,p20,12517330.0
665,r44,8985670.0
73,f32,8434834.0
642,r43,5186744.0
150,k04,4652776.0
809,u09,2948936.0
889,u54,2000000.0
817,u10,1968174.0
853,u19,1615060.0
476,r15,1380520.0
188,k12,1110492.0
209,k17,1062576.0
317,n43,1023932.0
453,r13,1022638.0
687,r55,800000.0
600,r41,574290.0
324,n44,481980.0
787,u01,339792.0
96,f33,282400.0
731,s15,276326.0
50,f31,259344.0
157,k06,136936.0
936,z01,0.0
