,grant_type,fiscal_year_total_cost
435,r01,817548117.0
805,u01,172720763.0
954,zia,120193646.0
514,r21,101488533.0
908,u54,36816769.0
684,r44,36392776.0
597,r37,30868484.0
352,p01,29711857.0
702,r56,29204908.0
975,zif,25397423.0
579,r35,23296873.0
858,u19,17142445.0
832,u10,17129883.0
16,dp2,17068750.0
961,zic,15537425.0
184,k08,14349554.0
775,t32,13721009.0
398,p50,12306839.0
238,k23,12183673.0
549,r25,11835795.0
375,p30,11071129.0
968,zid,10871499.0
924,uh3,10857746.0
918,uh2,9550921.0
873,u24,9523676.0
412,r00,9414389.0
69,f31,8290193.0
92,f32,6649155.0
9,dp1,5969483.0
913,ug3,5405691.0
733,sb1,5304156.0
305,n01,5150684.0
206,k12,4749485.0
532,r24,4203907.0
661,r43,3983728.0
449,r03,3950138.0
639,r42,3670945.0
570,r33,3312321.0
619,r41,3114127.0
886,u44,2795639.0
125,k01,2403017.0
495,r15,2149366.0
47,f30,1962808.0
146,k02,1766723.0
221,k22,1318142.0
283,k99,1116386.0
314,n02,879850.0
472,r13,752200.0
256,k24,710635.0
105,f99,487321.0
743,sc1,295744.0
933,y01,245000.0
753,sc2,164000.0
845,u13,158881.0
272,k25,151214.0
